,weighted_average_recommendation_score,movieId,recomendada
0,5.0,hs1384,True
1,5.0,ns6485,True
2,5.0,ns6584,True
3,5.0,as1906,True
4,5.0,ns6576,True
5,5.0,hs2397,True
6,5.0,ns6550,True
7,5.0,hs2471,True
8,5.0,hs2510,True
9,5.0,hs2548,True
10,5.0,hs2573,True
11,5.0,hs2581,True
12,5.0,as432,True
13,5.0,as1933,True
14,5.0,hs2613,True
15,5.0,hs2624,True
16,5.0,ns6360,True
17,5.0,as4310,True
18,5.0,ns6474,True
19,5.0,as4303,True
20,5.0,hs268,True
21,5.0,ns6451,True
22,5.0,hs2814,True
23,5.0,hs2821,True
24,5.0,hs2840,True
25,5.0,hs2855,True
26,5.0,hs2865,True
27,5.0,as1963,True
28,5.0,ns64,True
29,5.0,hs2884,True
30,5.0,hs2343,True
31,5.0,hs2329,True
32,5.0,hs2317,True
33,5.0,as4412,True
34,5.0,as4554,True
35,5.0,hs1898,True
36,5.0,as4546,True
37,5.0,hs1952,True
38,5.0,hs196,True
39,5.0,as4525,True
40,5.0,as4524,True
41,5.0,ns6752,True
42,5.0,hs1982,True
43,5.0,as4494,True
44,5.0,hs2045,True
45,5.0,hs2064,True
46,5.0,ns6707,True
47,5.0,hs210,True
48,5.0,ns669,True
49,5.0,hs2121,True
50,5.0,hs2127,True
51,5.0,hs2140,True
52,5.0,hs2148,True
53,5.0,hs2219,True
54,5.0,hs222,True
55,5.0,as444,True
56,5.0,hs2259,True
57,5.0,ns6630,True
58,5.0,as4432,True
59,5.0,hs2279,True
60,5.0,hs2303,True
61,5.0,ns6389,True
62,5.0,ns6348,True
63,5.0,hs1849,True
64,5.0,hs82,True
65,5.0,hs681,True
66,5.0,hs70,True
67,5.0,as402,True
68,5.0,hs728,True
69,5.0,ns6097,True
70,5.0,hs744,True
71,5.0,ns6092,True
72,5.0,as4004,True
73,5.0,hs798,True
74,5.0,ns6059,True
75,5.0,hs800,True
76,5.0,ns6053,True
77,5.0,ns6033,True
78,5.0,as3985,True
79,5.0,hs2981,True
80,5.0,as3984,True
81,5.0,as2093,True
82,5.0,ns6012,True
83,5.0,hs963,True
84,5.0,hs97,True
85,5.0,ns5977,True
86,5.0,ns1028,True
87,5.0,ns1046,True
88,5.0,as2114,True
89,5.0,as3902,True
90,5.0,as2117,True
91,5.0,ns1086,True
92,5.0,ns1093,True
93,5.0,ns6131,True
94,5.0,hs589,True
95,5.0,ns614,True
96,5.0,hs588,True
97,5.0,as4193,True
98,5.0,hs3024,True
99,5.0,as4180,True
100,5.0,hs3065,True
101,5.0,as4148,True
102,5.0,hs347,True
103,5.0,as4136,True
104,5.0,as4131,True
105,5.0,hs371,True
106,5.0,hs387,True
107,5.0,hs430,True
108,5.0,hs433,True
109,5.0,as4114,True
110,5.0,as4112,True
111,5.0,as4111,True
112,5.0,hs454,True
113,5.0,hs460,True
114,5.0,hs470,True
115,5.0,as2019,True
116,5.0,as2023,True
117,5.0,hs529,True
118,5.0,as4080,True
119,5.0,as4076,True
120,5.0,hs548,True
121,5.0,ns6178,True
122,5.0,ns6158,True
123,5.0,as4057,True
124,5.0,ns6819,True
125,5.0,hs1837,True
126,5.0,ds1429,True
127,5.0,ds794,True
128,5.0,as5076,True
129,5.0,ds554,True
130,5.0,as5065,True
131,5.0,as5062,True
132,5.0,as5057,True
133,5.0,as5055,True
134,5.0,ds6,True
135,5.0,ds605,True
136,5.0,as1639,True
137,5.0,ns7338,True
138,5.0,ds666,True
139,5.0,ds747,True
140,5.0,ds785,True
141,5.0,ns727,True
142,5.0,as1698,True
143,5.0,as4978,True
144,5.0,ds822,True
145,5.0,as4971,True
146,5.0,as4962,True
